[0                                                                                                                                                                     Everyone really likes the newest benefits 
1                                                                                                                           The Government Executive articles housed on the website are not able to be searched.
2                                                                                                                                   I like him for the most part, but would still enjoy seeing someone beat him.
3                                                                                                                               My favorite restaurants are always at least a hundred miles away from my house. 
4                                                                                                                                                                                                I know exactly.
5                                                                                                                                                                       We have plenty of space in the landfill.
6                                                                                                                                                            I did that all through college but it never worked 
7                                                                                                                                                Most of Mrinal Sen's work can be found in European collections.
8                                                                                                                                                                                  THe strike price could be $8.
9                                                                                                                                                      Would you rise up and defeaat all evil lords in the town?
10                                                                                                                              Go downwards to one of the gates, all of which will lead you into the cathedral.
11                                                                                                                                     The Tamils' bhakti movement froze the previously warm ritual of Hinduism.
12                                                                                                                                                                           Everyone involved was the same age.
13                                                                                                                                                                Severn said the people were not welcome there.
14                                                                                                                                                                                 We don't loan a lot of money.
15                                                                                                                                                                      I don't know how cold it got last night.
16                                                                                                                                                                          I need a way to add something extra.
17                                                                                                                                                     Sometimes it is amusing to see what the hologram creates.
18                                                                                                                                                                  Gross national saving was highest this year.
19                                                                                                                                                The amount of lost mail is huge and really impacts mail volume
20                                                                                                                                          You don't want to push the button lightly, but rather punch it hard.
21                                                                                                                                                                                              It has a buffet.
22                                                                                          Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. 
23                                                                                                                                               Leading organizations want to be sure their employees are safe.
24                                                                                                                                                                                   No, they wouldn't go there.
25                                                                                                                                                   This is how things are and there are no apologies about it.
26                                                                                                                                                                       Pope John Paul II also visited in 1983.
27                                                                                                                                                                             Tourism is not very big in Spain.
28                                                                                                                                                      She had changed a lot since the last time we'd seen her.
29                                                                                                                                                                               I cannot wait for it to happen.
30                                                                                                                                                                      The 1931 Malay census was an alarm bell.
31                                                                                                                                                                                          Many youth are lazy.
32                                                                                                                                                            Interest rates should increase to increase saving.
33                                                                                                                                                                There is a British publication called the Sun.
34                                                                                                                                                                        He loved how peaceful the village was.
35                                                                                                                  The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.
36                                                                                                                         These deviations mostly involve failure to apply software updates in a timely manner.
37                                                                                                           Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of opposition to tyranny.
38                                                                                                                            Senior Executive's have been studies on various aspects to reach the expectations.
39                                                                                                                                 It's impossible to have a plate hand-painted to your own design in Hong Kong.
40                                                                                                                                            Jewelry and duty-free shops are an interesting place to buy goods.
41                                                                                                                                                                        Jobs never held onto an idea for long.
42                                                                                                                                Democracies probably won't go to war unless someone attacks them on their soil
43                                                                                             There is no information on the mentality of the man, extraordinary or not, contained within the thin-paged book. 
44                                                                                                                                                                    The military didn't pay for her education.
45                                                                                                                                                               These men filed their midterm exams from home. 
46                                                                                                                                                        Not many couples with kids can save up for retirement.
47                                                                                                                                                                    They dodged the draft, I'll have you know.
48                                                                                                                                                                                     Lincoln took his hat off.
49                                                                                                                                                           The stock market can experience much worse damage. 
50                                                                                                                                                        Missouri was happy to continue it's planning efforts. 
51                                                                                                                                                         He had recently seen pictures depicting those things.
52                                                                                                                                                                         See, there is a well known hero here.
53                                                                                                                                             At the end of the fourth century was when baked goods flourished.
54                                                                                                                                                                           No one plays sports on the weekend.
55                                                                                                                                                                                       Harlem did a great job 
56                                                                                                                                                          The cushion will likely be spent in under two years.
57                                                                                                                                                                                            I am beyond proud.
58                                                                                                                                                                          She has chose to live a hollow life.
59                                                                                         All invasions of privacy should be severely punished, because it will teach the criminals that it is not worth doing.
60                                                                                                                                                                    The medicine he had taken had worked well.
61                                                                                                                                                                      New people chose to donate to the cause 
62                                                                                                                                         Business intelligence industry is a new and promising field of study.
63                                                                                                                                                                                               The gross cost.
64                                                                                                                                                                     Jim Lehrer has no credibility whatsoever.
65                                                                                                                                                                                Tuppence floated into the air.
66                                                                                                                                                                                   Jamus looked over the mare.
67                                                                                                                                                          There's nothing worth seeing in the tourist offices.
